Erhebungsmonat;Preissubsystem;Schemanummer;PMS;EP;Laufnummer;Preis_T;Menge_T;Preis_VPK;Menge_VPK;BC;Aktionscode;Ausverkauf;Text;Artikelnummer;Sonderpreis;Fehlende_Preise_R;BemerkungenMitHistorie;Tablet_Informationen;Preis_vor_Reduktion;Menge_vor_Reduktion;Ist_Preisreihe_zu_beenden;"DynamischesFeld1;DynamischesFeld2;DynamischesFeld3;DynamischesFeld4;DynamischesFeld5"
01.12.2016;2;0;7019;5103;11;1550;1;;;;0;0;Gefriergerät;4.136.261;0;;;zeitPos=1|sortNr=23;1550;1;0;"Satrap Oecoplan;Oecoplan;290 GS A++ NF;freistehend;"
01.12.2016;2;0;7019;5108;1;490;1;;;;1;0;Kühlschrank/Gefriergerät - Kombigerät;3.709.622;0;;;zeitPos=1|sortNr=18;700;1;0;"-;-;-;-;"
01.12.2016;2;0;7019;5108;2;1450;1;;;;0;0;Kühlschrank/Gefriergerät - Kombigerät;4.581.843;0;;Bitte die Produktemerkmale eintragen, merci GER;zeitPos=1|sortNr=19;1450;1;0;"Coop Oecoplan;337 KG A+++;337;freistehend;"
01.12.2016;2;0;7019;5183;1;64.95;1;;;;1;0;Elektrische Schlagbohrmaschinen;4.031.018;0;;;zeitPos=1|sortNr=8;80.95;1;0;"Bosch;500W;;;"
01.12.2016;2;0;7019;5183;5;110;1;;;;0;0;Elektrische Schlagbohrmaschinen;4.976.792;0;;;zeitPos=1|sortNr=9;110;1;0;"Einhell Red Line TE-ID;750 E;;;"
01.12.2016;2;0;7019;5185;2;52.95;1;;;;1;0;Elektrischer Schleifer;3.490.713;0;;;zeitPos=1|sortNr=14;65.95;1;0;"Bosch;200W;Schwingschleifer;;"
01.12.2016;2;0;7019;5185;3;160.2;1;;;;1;0;Elektrischer Schleifer;4.415.403;0;;Preiserhöhung! mg;zeitPos=1|sortNr=15;200;1;0;"Bosch;750W;Bandschleifer;;"
01.12.2016;2;0;7019;5186;3;130;1;;;;0;0;Stichsäge und Handkreissäge;5.617.452;0;;;zeitPos=1|sortNr=11;130;1;0;"Einhell;1200W;Handkreissäge;;"
01.12.2016;2;0;7019;5186;4;150;1;;;;0;0;Stichsäge und Handkreissäge;4.320.954;0;;;zeitPos=1|sortNr=10;150;1;0;"Einhell;1500W;Handkreissäge;;"
01.12.2016;2;0;7019;5187;1;60.95;1;;;;0;0;Akkuschrauber;4.320.951;0;;;zeitPos=1|sortNr=7;60.95;1;0;"Einhell;3.6 V;;;"
